trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.8, 'e': 0.8679999999999999}",35,0,-118.1784973616886,"{0: 22, 1: 3, 2: 8, 3: 2, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.8659999999999999}",25,0,-22.754850261778774,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.8639999999999999}",20,0,-12.300379680218509,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.8619999999999999}",20,0,-48.32827801413542,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.8599999999999999}",25,0,-109.93280957266633,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.8, 'e': 0.8579999999999999}",20,0,-52.01963593028535,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.8559999999999999}",25,0,-30.93439881249024,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.8, 'e': 0.8539999999999999}",25,0,-175.04344910378248,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
74,False,"{'a': 0.8, 'e': 0.8519999999999999}",30,0,-109.21034120678131,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.8, 'e': 0.8499999999999999}",35,0,-122.49239735815905,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
76,False,"{'a': 0.8, 'e': 0.8479999999999999}",25,0,-108.34180365734821,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.8, 'e': 0.8459999999999999}",25,0,-122.85168240625148,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.8, 'e': 0.8439999999999999}",30,0,-114.9972874172735,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
